Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,X.Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,pillName
22771,144.9971,48.9269,118,64,212,190.7887,95.8926,208.8661,96.2088,649.6051,61,47,261,98,278.3433,104.1625,0.1419,0.6781,261.3236,3301729,118,0.1652,-1.7107,100,3301729,61,100,2.8515,98,2.6722,0.3742,0.9827,00002-3228-30_PART_1_OF_1_CHAL10_SB_391E1C80.jpg
22792,141.8905,53.4404,118,3,213,191.4114,95.7574,209.6588,96.0212,651.0193,61,47,262,98,277.8018,104.4618,0.2484,0.6758,262.2747,3233969,118,-0.1689,-1.0501,100,3233969,61,102,2.6224,98,2.6594,0.376,0.9819,00002-3228-30_PART_1_OF_1_CHAL10_SF_391E1C80.jpg
22671,87.7424,16.6592,118,41,120,191.0635,96.1459,190.7006,96.5146,643.1198,63,47,258,98,275.6035,104.736,179.8308,0.6888,258.8532,1989209,90,-0.3336,-0.1692,100,1989209,63,86,175.3466,98,2.6314,0.38,0.9859,00002-3229-30_PART_1_OF_1_CHAL10_SB_3E1E1F50.jpg
23224,84.2026,22.3929,118,3,124,190.8935,95.6662,190.9675,96.6921,651.0193,61,45,261,102,277.1129,106.7064,0.0557,0.6886,261.3236,1955521,88,-1.2106,2.1047,100,1955521,61,92,177.1485,102,2.597,0.3851,0.9807,00002-3229-30_PART_1_OF_1_CHAL10_SF_3E1E1F50.jpg
23126,151.1201,42.7128,118,83,213,190.8733,95.9923,205.6065,96.1068,650.4335,61,46,262,100,278.3763,105.7739,0.1836,0.6869,262.3223,3494803,125,0.2321,-1.7004,100,3494803,61,103,2.8406,100,2.6318,0.38,0.9831,00002-3238-30_PART_1_OF_1_CHAL10_SB_361E1B30.jpg
23053,147.3509,46.8041,118,13,214,190.596,95.9476,206.5361,96.0788,649.0193,61,46,262,100,277.2337,105.8745,0.1653,0.6877,262.0687,3396880,123,0.0025,-1.2148,100,3396880,61,100,1.3119,100,2.6185,0.3819,0.9829,00002-3238-30_PART_1_OF_1_CHAL10_SF_361E1B30.jpg
28588,91.9368,21.7754,118,40,133,190.7529,95.8689,201.3597,96.2036,727.1615,45,41,294,110,312.4974,116.4789,179.9338,0.6794,294.0833,2628289,88,-0.1843,-0.9635,100,2628289,45,91,178.6361,110,2.6829,0.3727,0.9843,00002-3239-30_PART_1_OF_1_CHAL10_SB_3F1E1F80.jpg
28713,85.5263,26.3309,118,1,160,190.8268,96.1667,202.322,97.1647,729.7473,45,41,294,110,314.1245,116.3823,6.00E-04,0.6776,294.6795,2455718,85,-0.6905,0.1822,100,2455718,45,86,176.1083,110,2.6991,0.3705,0.9841,00002-3239-30_PART_1_OF_1_CHAL10_SF_3F1E1F80.jpg
27152,136.327,53.6143,118,60,209,190.4236,96.236,214.4159,96.3852,707.7473,50,42,284,108,303.1934,114.0229,0.0068,0.6812,284.5699,3701550,118,0.1993,-1.773,100,3701550,50,86,176.3734,107.6694,2.6591,0.3761,0.9828,00002-3250-30_PART_1_OF_1_CHAL10_SB_431E21C1.jpg
27540,130.5935,60.0228,118,2,214,190.8942,96.0606,215.6869,95.8751,715.1615,48,42,288,108,305.3747,114.8262,179.9653,0.6767,288.0625,3596544,104,0.0423,-1.3525,100,3596544,48,99,1.1935,108,2.6595,0.376,0.9837,00002-3250-30_PART_1_OF_1_CHAL10_SF_431E21C1.jpg
33363,79.3442,15.8523,118,35,119,190.8023,95.9123,191.1646,96.0765,789.061,32,38,320,116,340.9589,124.5871,0.0346,0.6734,320.264,2647162,81,0.3177,0.6837,100,2647162,32,102,2.3264,116,2.7367,0.3654,0.9884,00002-3251-30_PART_1_OF_1_CHAL10_SB_451E2281.jpg
33776,75.5386,22.3931,118,2,132,190.9162,95.717,191.7436,96.934,792.9605,32,36,320,120,340.5763,126.2711,179.9814,0.675,320.3061,2551391,79,-1.0612,2.3698,100,2551391,32,89,177.4949,120,2.6972,0.3708,0.9833,00002-3251-30_PART_1_OF_1_CHAL10_SF_451E2281.jpg
15573,115.7934,9.9288,118,65,164,186.3998,96.4062,186.1333,95.8456,488.0315,103,40,178,112,177.9437,111.4294,178.439,0.8216,179.0112,1803251,117,-0.0903,1.9185,100,1803251,103,86,173.9072,112,1.5969,0.6262,0.9878,00002-4463-30_PART_1_OF_1_CHAL10_SB_B5155ACA.jpg
15579,118.4781,9.4582,118,71,168,186.4397,95.8582,186.2886,95.8115,490.2742,102,40,180,112,178.2323,111.2918,0.9661,0.8145,180.1,1845771,118,-0.1612,1.8582,100,1845771,102,99,1.9092,112,1.6015,0.6244,0.987,00002-4463-30_PART_1_OF_1_CHAL10_SF_B5155ACA.jpg
19427,102.7263,10.9335,118,63,164,185.6836,96.0317,185.1176,95.3108,547.1442,92,33,200,126,198.5313,124.5911,0.1067,0.8155,200.1225,1995663,102,0.4957,1.0905,100,1995663,92,90,177.9955,126,1.5935,0.6276,0.9877,00002-4464-30_PART_1_OF_1_CHAL10_SB_B8155C1A.jpg
19375,104.0896,10.9166,118,63,161,185.9724,95.773,185.9912,95.6196,547.1442,92,33,200,126,199.048,123.935,0.5905,0.8133,200.4221,2016736,103,0.5074,0.8573,100,2016736,92,103,3.719,126,1.6061,0.6226,0.987,00002-4464-30_PART_1_OF_1_CHAL10_SF_B8155C1A.jpg
55958,136.8232,22.8035,142,16,195,191.8627,96.2338,193.2417,94.43,963.7544,6,7,372,179,385.4755,184.8313,179.9595,0.7571,372.3439,7656350,141,-2.1605,6.4575,100,7656350,6,87,177.5372,179,2.0856,0.4795,0.9924,00003-4222-16_PART_1_OF_1_CHAL10_SB_F215F93F.jpg
